reslhlabinc0,reslhlabinc1,reslhlabinc2,reslhlabinc3,reslhlabinc4,reslhlabinc5,reslhlabinc6,reslhlabinc7,reslhlabinc8,reslhlabinc9,reslhlabinc10,reslhlabinc11,reslhlabinc12,reslhlabinc13,reslhlabinc14,reslhlabinc15,reslhlabinc16,reslhlabinc17,reslhlabinc18,reslhlabinc19,reslhlabinc20,reslhlabinc21,reslhlabinc22,reslhlabinc23,reslhlabinc24,reslhlabinc25,reslhlabinc26,reslhlabinc27,reslhlabinc28,reslhlabinc29,reslhlabinc30,reslhlabinc31,reslhlabinc32,reslhlabinc33,reslhlabinc34,reslhlabinc35
,,,,,-.08147867,-.17393278,-.1562957,.20322755,-.1543463,-.24557957,,-.24885379,,-.13301326,,.21333326,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1060236,-1.0483717,-1.4859272,-.89078283,-1.5545212,-1.3318003,-.94642997,-1.0399684,-1.0809011,-1.1067502
,,,,,,,,,,,,,,,,,,,,-.48963511,-.25072899,-.14964642,,.22039828,.26941106,.24922037,.17613757,.028426403,.42052951,.42094982,.43565506,.46324632,.57502395,.49388254,.7580418
,,,,,,,,,,,,,,,,,,,,,,,,-.61895531,,,,,,,-.94623113,-1.0131632,,,
-1.3394915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.4250176,,,.40027857,.50668764,.64719349,.43724304,.60308206,,.42072025,.28168094,-.222773,.058190215,,-.42343432,,-.063448317,,-.38479382,,-.7168299,,,,,,,,,,,,,,,
,,,,-.19419974,.039082415,.10290614,.23337813,-.020108402,.0077395393,-1.0822761,.13605109,-.54362661,-.010280989,-.14023183,,-.30681422,,.012756136,,.20996448,,,,,,,,,,,,,,,
,,,,-.75751114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.90769088,-1.0414989,-1.0076101,-.8716023
,,,,,,,,,,,,,,,,,,,,,,,,.45119983,.5455668,.36263973,.35112965,.60769981,.5648917,.57090819,.5072521,.46213534,.91320735,1.0083559,.97310287
