reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,.54557276,.65462255,.48510215,.44164726,.07375899,.41060165,.40935937,,.244527,.20465846,.16027056,.1718096,.17983483,.13885362,-.045782357,1.6361557,.22091797,-.0024150198,-.12776101,,-.00074985536,,.11598129,,,,,,,,,,,,
.087363027,-.11612453,-.11146127,.015562435,-.0074943765,-.37746921,.131479,.57769841,-.10441487,.11284538,.15842488,.030933825,.21231219,.24636227,.26588926,.27838001,.29771894,.064318173,.21946014,.50399351,.3627634,.36298618,.32969469,.23015392,.30883414,.19821927,,.253795,,.20044295,,-1.2328416,,,,
-.5595805,,-.012022555,,.55922222,,-.89312845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.24090068,,.037686206,,-.30299899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.37792602,-.23755795,.66057444,-.57047296,,,,,,,,,,,,,,,,,,,
.51331949,.1175588,,.22924314,,.23793721,,.23424812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,.0210527,,.89828968,,.27802384,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.48186016,.07873895,.086871915,.21452741,.13881236,.13504843,.48910692,-.049533557,-.034945961,.22153978,.51916659,-.08985652,.089216106,-.36848059,,,,,,,
,,,,,,,,,,,-.17937623,.019049259,-.13212702,-1.184786,-.82059473,-1.1901423,-.44295052,-.64459276,-.43692818,-.55140096,,-1.7946947,,-.16931219,,,,,,,,,,,
,,,,,,,,-.60685498,,,,,-1.0829501,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.4949071,-.38380978,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-.98618013,-1.1841189,-.94896448,-1.0111685,-.99769473,-.92191553,-.81122738,-.95109153,-.863105,-.99741948,-1.0747814
,,,,,,,,,,,,,,,,,,,-.32565361,-.0607353,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-.16879895,-.27641982,,,,,,,
,,,,,,-.35530972,-.41963732,-.94045097,-.30849633,-.075852089,-.34723315,-.43510097,-.33198598,.10170595,-.1618616,.29001784,.17822291,-.77522582,-.16267467,.58506852,.38317099,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-.76272017,-.67528927,,,,-.23974442,-.18279065,-.28915855,-.24917176,-.33284909,-.036059588,-.22475308,-.095271781,-.031559046,-.18537796,-.22130258,-.50449973,.083337463,.14197007,.0012668512,.11803049,.048112895
,,,,,.40013045,.86510366,.36352837,.18906532,,,,,,,,,,,,-.09615209,,,,,,,,,,,,,,,
.52309567,.34109959,.29985029,.24998949,.21123894,.8715862,-.042040642,.45944723,,1.2814279,,-.045501374,,-.16611397,,,,,,,,,,,,,,,,,,,,,,
-.13305348,.49940667,.083956458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.015246165,-.017836187,.17515036,-.062999897,,.10280277,,.27111334,,.47158545,,,,,,,,,,,,,,,,,,,,,,
,,,,.16011906,1.0500702,.054987494,-.056606386,-.074476697,-.0088359984,,-.72727573,,-.47732094,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.43298483,.17766871,.17094098,.25988218,.25485739,-.043439645,-.0405889,.44272602,.29882205,,,
,,,,,,,,,,,,,,-.39631063,-.22171409,.03581788,.044864096,-.27668324,-.25455466,-.16693029,-.12599744,.071793586,,.11215,,.25207871,,.29374763,,,,,,,
,-.92485851,-.38756192,-.081300765,,.29424292,,.4397577,,.69918972,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.22349474,-.3326658,,-.016486602,,-.79225093,,.077689461,,,,,,,,,,,,,,,,,,,,,,,,,,,
.22502157,.25277492,.050787687,.3805182,-.061700162,.33195356,.052562315,.2215102,.2897864,.30196092,.55823237,.5887571,.51263011,.34330422,.50688279,.5459429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.66182536,-.59014952,-.80213052,-.37084717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4600574,,,
-.56613469,-.56529546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.11737133,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-.072196513,.085179202,.056064811,-.10167226,.079484634,-.03718771,-.2013943,.082096584,-.012764707,.10467235,.14139271,-.079185098,.08006268,.031078093,.10479587,.20396779,.10123469,.17694099,.17353441,.2141223
-.29528058,.00082942774,-.44074082,-.29799977,-.11700317,.10463025,.27181172,.085959062,.035643142,.36440474,.29410961,.35114443,.26994386,.041790795,.1209849,.23342361,.11780717,,,,,,,,,-1.3614541,,-1.2067872,,-1.3349258,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-.80124909,-.86901367,-.73275429,-.69754994,,-.49326044,,-.52106118,,-.18528581,,,
-.21973579,-.22331265,-1.1737379,-.75274634,-1.7631639,-.94522971,-1.2265713,,,-.25581187,-.6517325,-1.3582802,,-1.1809464,-1.9318131,-1.3173629,-.85486454,-1.5481833,-1.0139169,-1.0135533,,-1.4030259,-1.4672483,.43687916,-1.0674422,-.32950786,,,-.71474189,,,,,,,
,,,,,,,.49212012,,.61919636,,.60226041,,,,,,,,,,,,,,,,,,,,,,,,
-.056782085,-.14902395,.079531878,,,,-.010709699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.29184493,.24991632,.29090959,.26963931,.20062527,.18148348,.33464116,.22727512,,,,,,,,,,,,,,,,,,,,,,,,,,
.56589669,,1.4543407,,1.7843312,,2.0877934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.89900517,-.60077423,-.307989,,-.92940742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.51212513,.62752891,.49064741,.57429177,.62768251,.58725524,.73801559,.52252311,.32467872,.56055671,.36577556,.43075001,.7597701,.74439007,.67689675,.66074878,.7600143,.65868282,.97449595,,,,,,,
.18289465,.66179407,.56254673,.77423286,.77104414,.61085176,.60533416,.63898653,.42713264,.29448143,.49287099,.20553659,,.16920619,,.15384443,,.12991218,,,,,,,,,,,,,,,,,,
,,,,,,,,,-.11304253,,,,,,,,,,,,,,,,,,,,,,,,,,
.69089711,.53496099,-.31760809,.16371669,-.44192517,-.011408958,.16604058,.27025527,-.017959919,.15649463,,.70209926,,.54713112,,.4776307,,,,,,,,,,,,,,,,,,,,
,,,,,-.4789497,,-.53561401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.18777081,-.36929166,.35472992,.42501819,.45539767,.60102713,.29990959,.42965052,-.22252028,-.38684982,1.2867005,,.012585703,,,,.97126126,,,,,,,,,,,,,,,,,,,
.14859629,.39443463,,.27929902,,.47567612,,.62582779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-.22467817,,-.77900654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.40154481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
